employee_id,name,gender,discipline,department,code,location,title,supervisor_id,supervisor_name,project_id,project_name,role,SQL,Python,Java,Scala,Apache Spark (PySpark),Apache Spark (Scala),Apache Spark (Java),PL/SQL,PHP,.NET,DevOps,MLOps,DB Oracle,DB Teradata,DB SQL Server,MS Analysis Services,Oracle Hyperion Essbase,SAP BW,Dataset SAS  (SAS Base / SAS DIS),My SQL,DB2,MongoDB,Elasticsearch,Exalead,Apache Solr,PostgreSQL,IBM DataStage,Informatica PowerCenter,Informatica Data Integration Cloud (IDMC),Oracle Data Integration (ODI),MS SQL Server Integration Services (SSIS),SAS Data Integration Services (DIS),Qlik (QDI),Data IKU,Talend,Denodo,Dremio,Apache Kafka,"Hadoop Cloudera / Hortonworks Platform (Hive, Hbase, Impala, Oozie Parquet, BigSQL, Spark, Yarn, Apache Nifi, …)","IBM Big Insight (Hive, Hbase, Impala, Parquet, BigSQL, Spark, Yarn, …)",Palantir Platform,Databricks Platform (inserire le funzionalità native di D.),Snowflake,SAP S/4 HANA Platform,SAP BW,Suite Informatica Data Governance,Informatica MDM,Informatica ILM Data Masking,Suite IBM Data Governance,IBM Optim Data Masking,IBM MDM,Suite SAS Data Governance,Suite Irion Data Governance,Suite Collibra Data Governance,Suite Ab-Initio Data Governance
7861,Paolo Rossi,M,I&D,AI and Data Engineering,IT01PR45,ROMA,SENIOR CONSULTANT,7112,Alberto Conti,10278,Piattaforma Giove,Data Engineer & ETL Specialist,Experienced,Beginner,Beginner,Novice,Novice,Novice,Novice,Beginner,Novice,Novice,Beginner,Beginner,Experienced,Novice,Beginner,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Experienced,Beginner,Beginner,Beginner,Beginner,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Novice,Novice,Beginner,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
8907,Monica Gallo,F,I&D,AI and Data Engineering,IT01PR45,ROMA,SENIOR CONSULTANT,7112,Alberto Conti,7865,Piattaforma Saturno,Data Engineer & ETL Specialist,Master,Novice,Beginner,Novice,Novice,Novice,Novice,Master,Novice,Novice,Novice,Novice,Master,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Experienced,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
8686,Claudio Bruno,M,I&D,AI and Data Engineering,IT01PR45,ROMA,ANALYST CONSULTANT,7112,Alberto Conti,7871,Iniziativa Grifone,Data Analyst & Data Modeler,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
8860,Simone Ferrari,M,I&D,,,ROMA,CONSULTANT,7112,Alberto Conti,7809,Sistema Zeus,Data Engineer & ETL Specialist,Experienced,Experienced,,,Novice,,,Beginner,,,,,Experienced,Beginner,Beginner,,,,Master,Beginner,Novice,Beginner,,,,Beginner,,Beginner,Novice,Novice,,Experienced,Experienced,,Novice,Novice,,,,,,,Novice,,,,,,,,,Beginner,,,
8505,Giuseppe Rinaldi,M,I&D,AI and Data Engineering,IT01PR45,ROMA,SENIOR CONSULTANT,7112,Alberto Conti,8641,Piattaforma Andromeda,Data Engineer & ETL Specialist,Master,Novice,Beginner,,,,,Beginner,Beginner,Beginner,,,Experienced,Experienced,Beginner,,,,,Beginner,,,,,,,Master,Experienced,,,Beginner,,,,Beginner,,,,,,,,,,,,,,,,,,,,
8967,Francesco Fontana,M,I&D,AI and Data Engineering,IT01PR45,MILANO,CONSULTANT,7112,Alberto Conti,8889,Progetto Apollo,Data Engineer & SW Developer/Specialist,Experienced,Beginner,,,Novice,,,Experienced,,,,,Experienced,,,,,,,Beginner,,Novice,,,,Novice,Beginner,,,,,,,,Beginner,,,,,,,Novice,,,,,,,,,,,,,
8902,Enrico Bianchi,M,I&D,AI and Data Engineering,IT01PR45,ROMA,SENIOR CONSULTANT,7112,Alberto Conti,7865,Piattaforma Saturno,Data Engineer & ETL Specialist,Master,,,,,,,Experienced,,,,,Master,Novice,Experienced,,,,Experienced,Beginner,Beginner,,,,,,Master,,,,,Experienced,,,,,,,Experienced,,,,,,,,,,,,,,,,
9272,Luca Romano,M,I&D,AI and Data Engineering,IT01PR45,NAPOLI,CONSULTANT,9550,Valentina Marini,9685,Piattaforma Zeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9016,Valentina Bruno,F,I&D,AI and Data Engineering,IT01PR45,MILANO,ANALYST CONSULTANT,7112,Alberto Conti,8323,Iniziativa Leone,Data Analyst & Data Modeler,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
9450,Luca Barbieri,M,I&D,AI and Data Engineering,IT01PR45,NAPOLI,CONSULTANT,9550,Valentina Marini,5749,Sistema Plutone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8643,Davide Caruso,M,I&D,AI and Data Engineering,IT01PR45,TORINO,CONSULTANT,9550,Valentina Marini,9399,Sistema Sirio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9897,Alessio Bruno,M,I&D,AI and Data Engineering,IT01PR45,MARCON,ANALYST CONSULTANT,7112,Alberto Conti,9222,Progetto Dragone,Data Engineer & ETL Specialist,Experienced,Novice,Beginner,,,,,Beginner,Beginner,,,,Beginner,,Experienced,,,,,,,,,,,,,,,Beginner,Experienced,,Beginner,,,,,,,,,,,,,,,,,,,,,,
8781,Luigi Fontana,M,I&D,AI and Data Engineering,IT01PR45,TORINO,ANALYST CONSULTANT,9550,Valentina Marini,5749,Sistema Plutone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8781,Luigi Fontana,M,I&D,AI and Data Engineering,IT01PR45,SALERNO,SENIOR CONSULTANT,9550,Valentina Marini,9500,Sistema Cassiopea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8897,Daniele Fabbri,M,I&D,AI and Data Engineering,IT01PR45,SALERNO,ANALYST CONSULTANT,7112,Alberto Conti,9500,Sistema Cassiopea,Data Engineer & ETL Specialist,Experienced,Experienced,Novice,Novice,Experienced,,,Experienced,Novice,Novice,Novice,Novice,Beginner,Novice,Experienced,Experienced,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Experienced,Experienced,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Beginner,Beginner,Novice,Experienced,Novice,Novice,Novice,Beginner,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
